python: can't open file 'train_ma.py': [Errno 2] No such file or directory
Generating 1 envs per character matchup:
hello
hello

Duel: ego=2timescale(Guile, head=0) vs adv=2timescale(Ryu, head=0)  matchup=GuileVsRyu  rounds=100
Recording duel video to: main/videos/duel_2timescale_Guile_vs_2timescale_Ryu.mp4
Generating 1 envs per character matchup:
too many threads/slices (14), reducing to 13
  round 1/100: ego_won=False  ego_hp=72  adv_hp=176
  round 2/100: ego_won=False  ego_hp=58  adv_hp=176
  round 3/100: ego_won=False  ego_hp=94  adv_hp=176
  round 4/100: ego_won=False  ego_hp=81  adv_hp=176
  round 5/100: ego_won=False  ego_hp=74  adv_hp=176
  round 6/100: ego_won=False  ego_hp=71  adv_hp=176
  round 7/100: ego_won=False  ego_hp=75  adv_hp=176
  round 8/100: ego_won=False  ego_hp=81  adv_hp=176
  round 9/100: ego_won=False  ego_hp=79  adv_hp=176
  round 10/100: ego_won=False  ego_hp=70  adv_hp=176
  round 11/100: ego_won=False  ego_hp=74  adv_hp=176
  round 12/100: ego_won=False  ego_hp=79  adv_hp=176
  round 13/100: ego_won=False  ego_hp=69  adv_hp=176
  round 14/100: ego_won=False  ego_hp=78  adv_hp=176
  round 15/100: ego_won=False  ego_hp=82  adv_hp=176
  round 16/100: ego_won=False  ego_hp=72  adv_hp=176
  round 17/100: ego_won=False  ego_hp=78  adv_hp=176
  round 18/100: ego_won=False  ego_hp=52  adv_hp=176
  round 19/100: ego_won=False  ego_hp=71  adv_hp=176
  round 20/100: ego_won=False  ego_hp=56  adv_hp=176
  round 21/100: ego_won=False  ego_hp=76  adv_hp=145
  round 22/100: ego_won=False  ego_hp=71  adv_hp=176
  round 23/100: ego_won=False  ego_hp=54  adv_hp=176
  round 24/100: ego_won=False  ego_hp=78  adv_hp=176
  round 25/100: ego_won=False  ego_hp=77  adv_hp=176
  round 26/100: ego_won=False  ego_hp=68  adv_hp=176
  round 27/100: ego_won=False  ego_hp=87  adv_hp=176
  round 28/100: ego_won=False  ego_hp=82  adv_hp=176
  round 29/100: ego_won=False  ego_hp=75  adv_hp=176
  round 30/100: ego_won=False  ego_hp=70  adv_hp=176
  round 31/100: ego_won=False  ego_hp=74  adv_hp=176
  round 32/100: ego_won=False  ego_hp=72  adv_hp=176
  round 33/100: ego_won=False  ego_hp=42  adv_hp=176
  round 34/100: ego_won=False  ego_hp=79  adv_hp=176
  round 35/100: ego_won=False  ego_hp=79  adv_hp=176
  round 36/100: ego_won=False  ego_hp=78  adv_hp=176
  round 37/100: ego_won=False  ego_hp=75  adv_hp=176
  round 38/100: ego_won=False  ego_hp=91  adv_hp=176
  round 39/100: ego_won=False  ego_hp=74  adv_hp=176
  round 40/100: ego_won=False  ego_hp=24  adv_hp=176
  round 41/100: ego_won=False  ego_hp=82  adv_hp=176
  round 42/100: ego_won=False  ego_hp=81  adv_hp=176
  round 43/100: ego_won=False  ego_hp=71  adv_hp=176
  round 44/100: ego_won=False  ego_hp=63  adv_hp=176
  round 45/100: ego_won=False  ego_hp=81  adv_hp=176
  round 46/100: ego_won=False  ego_hp=82  adv_hp=176
  round 47/100: ego_won=False  ego_hp=76  adv_hp=176
  round 48/100: ego_won=False  ego_hp=74  adv_hp=176
  round 49/100: ego_won=False  ego_hp=73  adv_hp=176
  round 50/100: ego_won=False  ego_hp=73  adv_hp=176
  round 51/100: ego_won=False  ego_hp=74  adv_hp=176
  round 52/100: ego_won=False  ego_hp=68  adv_hp=176
  round 53/100: ego_won=False  ego_hp=72  adv_hp=176
  round 54/100: ego_won=False  ego_hp=72  adv_hp=176
  round 55/100: ego_won=False  ego_hp=75  adv_hp=176
  round 56/100: ego_won=False  ego_hp=76  adv_hp=176
  round 57/100: ego_won=False  ego_hp=44  adv_hp=176
  round 58/100: ego_won=False  ego_hp=81  adv_hp=176
  round 59/100: ego_won=False  ego_hp=80  adv_hp=176
  round 60/100: ego_won=False  ego_hp=75  adv_hp=176
  round 61/100: ego_won=False  ego_hp=82  adv_hp=176
  round 62/100: ego_won=False  ego_hp=65  adv_hp=176
  round 63/100: ego_won=False  ego_hp=84  adv_hp=176
  round 64/100: ego_won=False  ego_hp=72  adv_hp=176
  round 65/100: ego_won=False  ego_hp=78  adv_hp=176
  round 66/100: ego_won=False  ego_hp=78  adv_hp=176
  round 67/100: ego_won=False  ego_hp=76  adv_hp=176
  round 68/100: ego_won=False  ego_hp=71  adv_hp=176
  round 69/100: ego_won=False  ego_hp=52  adv_hp=176
  round 70/100: ego_won=False  ego_hp=81  adv_hp=176
  round 71/100: ego_won=False  ego_hp=73  adv_hp=176
  round 72/100: ego_won=False  ego_hp=79  adv_hp=176
  round 73/100: ego_won=False  ego_hp=76  adv_hp=176
  round 74/100: ego_won=False  ego_hp=73  adv_hp=176
  round 75/100: ego_won=False  ego_hp=72  adv_hp=176
  round 76/100: ego_won=False  ego_hp=81  adv_hp=176
  round 77/100: ego_won=False  ego_hp=83  adv_hp=176
  round 78/100: ego_won=False  ego_hp=81  adv_hp=176
  round 79/100: ego_won=False  ego_hp=79  adv_hp=176
  round 80/100: ego_won=False  ego_hp=77  adv_hp=176
  round 81/100: ego_won=False  ego_hp=73  adv_hp=176
  round 82/100: ego_won=False  ego_hp=71  adv_hp=176
  round 83/100: ego_won=False  ego_hp=81  adv_hp=176
  round 84/100: ego_won=False  ego_hp=82  adv_hp=176
  round 85/100: ego_won=False  ego_hp=77  adv_hp=176
  round 86/100: ego_won=False  ego_hp=65  adv_hp=176
  round 87/100: ego_won=False  ego_hp=76  adv_hp=176
  round 88/100: ego_won=False  ego_hp=78  adv_hp=176
  round 89/100: ego_won=False  ego_hp=76  adv_hp=176
  round 90/100: ego_won=False  ego_hp=92  adv_hp=176
  round 91/100: ego_won=False  ego_hp=78  adv_hp=176
  round 92/100: ego_won=False  ego_hp=67  adv_hp=176
  round 93/100: ego_won=False  ego_hp=89  adv_hp=176
  round 94/100: ego_won=False  ego_hp=71  adv_hp=176
  round 95/100: ego_won=False  ego_hp=74  adv_hp=176
